timestamp_utc,cycle_id,station_id,station_name,aq_id,lat,lon,speed_kmh,free_flow_speed_kmh,current_travel_time_s,free_flow_travel_time_s,density_cars_per_km,cars_per_hour,congestion_percent,co2_kg_per_hour,pm25_ugm3,pm10_ugm3,no2_ugm3,o3_ugm3,co_ugm3,so2_ugm3,nh3_ugm3,air_index,waqi_aqi,temperature_c,feels_like_c,humidity_percent,pressure_hpa,wind_speed_ms,wind_deg,clouds_percent,visibility_m,weather_desc,population_exposure_index,dist_to_chp_km,heating_season,downwind_of_chp,traffic_source,air_source,weather_source
2026-08-12T07:53:54+00:00,20260812T075354Z,qapparov,Qapparov St.,3243331,43.21065,76.9465,44,67,1567,1029,68.66,3020.9,34.3,362.5,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,33.77,32.02,23,1009,2.4,347,100,10000,overcast clouds,10.66,14.63,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,kokkainar,Kokkainar Micro,2812651,43.29076,76.84123,38,48,2086,1652,41.67,1583.3,20.8,190.0,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,37.97,35.26,12,1005,1.71,42,100,10000,overcast clouds,9.92,2.99,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,alatau,Alatau (foothill),2812620,43.17658,76.89771,38,38,994,994,0.0,0.0,0.0,0.0,9.65,13.34,0.19,80.05,70.61,0.05,0.43,13.4,4,33.02,31.3,24,1010,2.1,16,100,10000,overcast clouds,10.64,14.88,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,school175,School 175,2812756,43.19957,76.85428,31,37,1218,1020,32.43,1005.4,16.2,120.6,9.65,13.34,0.19,80.05,70.61,0.05,0.43,13.4,4,34.82,32.96,21,1008,1.99,32,100,10000,overcast clouds,11.52,11.02,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,school77,School 77,2812751,43.21846,76.94964,44,67,1567,1029,68.66,3020.9,34.3,362.5,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,35.07,33.12,20,1008,2.19,348,100,10000,overcast clouds,10.66,14.32,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,school137,School 137,2812563,43.31676,76.91084,14,24,736,429,83.33,1166.7,41.7,140.0,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,38.4,35.7,12,1005,1.76,18,100,10000,overcast clouds,11.07,9.07,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,school192,School 192,2812775,43.17203,76.85234,38,38,994,994,0.0,0.0,0.0,0.0,9.65,13.34,0.19,80.05,70.61,0.05,0.43,13.4,4,33.47,31.79,24,1009,2.13,29,100,10000,overcast clouds,10.64,13.87,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,ippodrom,Ippodrom,3124030,43.30778,76.92324,30,39,1844,1418,46.15,1384.6,23.1,166.2,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,37.87,35.29,13,1006,1.71,10,100,10000,overcast clouds,10.05,9.8,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,ekopost,EkoPost,2812576,43.24966,76.8056,46,46,259,259,0.0,0.0,0.0,0.0,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,37.05,34.68,15,1006,2.29,54,100,10000,overcast clouds,8.78,4.67,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,kotelnikova,Kotelnikova St.,2812792,43.3104,76.94217,28,37,2564,1940,48.65,1362.2,24.3,163.5,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,38.35,35.65,12,1005,1.9,13,100,10000,overcast clouds,10.12,11.36,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,hospital7,Hospital-7,2812726,43.23396,76.80013,23,51,103,46,109.8,2525.5,54.9,303.1,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,36.36,34.32,18,1007,2.37,53,100,10000,overcast clouds,11.79,6.43,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,school187,School 187,2812690,43.18579,76.82848,33,41,736,592,39.02,1287.8,19.5,154.5,9.65,13.34,0.19,80.05,70.61,0.05,0.43,13.4,4,34.01,32.4,24,1009,2.28,39,100,10000,overcast clouds,11.7,11.94,0,0,tomtom,openweathermap+waqi,openweathermap
